"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"TAS2R46","ENSG00000226761","0.33","0.7714367553767599","1","0.01","0.02","0.01","0.02"
"TCTE1","ENSG00000146221","0.33","0.7952048721694668","1.00990099009901","0.02","0.03","0.01","0.02"
"TEP1","ENSG00000129566","0.33","0.769960539785947","1.0530359355638166","41.49","6.69","39.35","5.91"
"TMEM209","ENSG00000146842","0.33","0.7487213369070825","1.0483870967741937","15.9","2.28","15.12","2.95"
"TMEM95","ENSG00000182896","0.33","0.7972855892353323","1","0","0.01","0","0.01"
"TNRC18P1","ENSG00000249661","0.33","0.7899949632271005","1.0096153846153846","0.05","0.04","0.04","0.03"
"TPRG1L","ENSG00000158109","0.33","0.7467753105590063","1.0451325975951244","62.45","7.17","59.71","11.85"
"TPTE2P5","ENSG00000168852","0.33","0.7797309460587208","1.0265486725663717","0.16","0.08","0.13","0.07"
"TREX2","ENSG00000183479","0.33","0.7768134911514594","1.0581395348837208","0.82","0.32","0.72","0.25"
"TRIB1","ENSG00000173334","0.33","0.7605971493818412","1.3017274472168905","32.91","29.38","25.05","21.35"
"UBE2V1","ENSG00000244687","0.33","0.7447022952443857","1.0510948905109487","1.88","0.38","1.74","0.63"
"UBE3C","ENSG00000009335","0.33","0.7597092709483982","1.0572358204540413","141.97","24.14","134.23","20.53"
"Z99572.1","ENSG00000213062","0.33","0.7793015868195278","1.0252100840336136","0.22","0.1","0.19","0.08"
"ZFP36","ENSG00000128016","0.33","0.7797309460587208","1.2583841463414633","230.14","137.12","182.68","91.96"
"ZFYVE16","ENSG00000039319","0.33","0.7582833650340782","1.0379339905700815","47.43","5.1","45.66","6.61"
"ZNF527","ENSG00000189164","0.33","0.7768134911514594","1.0301418439716312","4.81","0.57","4.64","0.45"
"ZNF814","ENSG00000204514","0.33","0.7670826185277604","1.0396039603960396","2.15","0.38","2.03","0.39"
"ABL2","ENSG00000143322","0.32","0.7728669983800046","1.06294670846395","83.77","18.18","78.75","26.85"
"AC004492.1","ENSG00000272072","0.32","0.7797309460587208","1.0183486238532111","0.11","0.06","0.09","0.06"
"AC004692.2","ENSG00000228680","0.32","0.7972855892353323","1","0","0.01","0","0"
"AC005034.6","ENSG00000271452","0.32","0.7844784740528733","1.0392156862745097","0.59","0.21","0.53","0.18"
"AC005776.1","ENSG00000270802","0.32","0.7771470484917907","1.0097087378640777","0.04","0.03","0.03","0.03"
"AC006967.3","ENSG00000269446","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"AC008894.2","ENSG00000269243","0.32","0.7972855892353323","1","0.01","0.02","0.01","0.01"
"AC010335.1","ENSG00000268199","0.32","0.7972855892353323","1","0.01","0.02","0.01","0.01"
"AC010478.1","ENSG00000259663","0.32","0.7798640497120339","1.00990099009901","0.02","0.02","0.01","0.02"
"AC010655.1","ENSG00000228700","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"AC011939.2","ENSG00000261544","0.32","0.7931956361763192","1.01","0.01","0.01","0","0.01"
"AC017076.1","ENSG00000271947","0.32","0.7972855892353323","1.01","0.01","0.01","0","0.01"
"AC018735.1","ENSG00000226553","0.32","0.7788931417274939","1","0.01","0.02","0.01","0.02"
"AC020978.7","ENSG00000263276","0.32","0.7769121516079632","1.0267857142857142","0.15","0.07","0.12","0.07"
"AC022601.1","ENSG00000268873","0.32","0.7966007547169811","1","0.01","0.02","0.01","0.01"
"AC025174.1","ENSG00000251168","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"AC026410.1","ENSG00000184188","0.32","0.7972855892353323","1.037037037037037","0.12","0.14","0.08","0.08"
"AC027117.1","ENSG00000253671","0.32","0.7972855892353323","1.02","0.02","0.06","0","0.01"
"AC037459.2","ENSG00000253200","0.32","0.7580659706232631","1.0480961923847696","4.23","0.68","3.99","1.04"
"AC073934.1","ENSG00000240790","0.32","0.7891787115054806","1","0.01","0.01","0.01","0.01"
"AC087683.1","ENSG00000267088","0.32","0.7785617463459196","1.0098039215686274","0.03","0.03","0.02","0.03"
"AC092354.2","ENSG00000272370","0.32","0.7917266873430807","1.0172413793103448","0.18","0.07","0.16","0.06"
