"","gene","cohen_for_all_celltypes_in_xdp_enriched","cohen_neuron_stem_cells_enriched","cohen_fibroblast_eniched","cohen_induced_neuron_enriched"
"97","UBR3",0.3,NA,0.35,NA
"98","ZXDC",0.3,NA,NA,NA
"99","HERC1",0.29,NA,NA,NA
"100","HERC2",0.29,0.52,NA,NA
"101","LTN1",0.29,NA,0.24,NA
"102","NEURL1",0.29,NA,NA,0.41
"103","RAPSN",0.29,0.94,NA,0.68
"104","RNF150",0.29,NA,NA,NA
"105","RNF157",0.29,NA,NA,NA
"106","TRIM69",0.29,0.86,NA,NA
"107","TRIM75P",0.29,NA,NA,0.53
"108","BRAP",0.28,NA,NA,NA
"109","DCST1",0.28,0.85,NA,NA
"110","DTX4",0.28,NA,NA,NA
"111","RNF113A",0.28,0.23,NA,NA
"112","RNF145",0.28,NA,NA,NA
"113","TRIM37",0.28,NA,NA,0.37
"114","ZNRF4",0.28,NA,NA,NA
"115","LONRF1",0.27,NA,NA,NA
"116","RNF125",0.27,NA,NA,0.42
"117","RNF151",0.27,NA,NA,0.76
"118","SHPRH",0.27,NA,NA,NA
"119","TRIM11",0.27,0.85,NA,NA
"120","TRIM17",0.27,0.38,NA,NA
"121","TRIM46",0.27,NA,NA,NA
"122","TRIM52",0.27,NA,NA,NA
"123","TRIM58",0.27,NA,NA,NA
"124","DTX3",0.26,NA,NA,NA
"125","LRSAM1",0.26,0.8,NA,0.23
"126","RMND5B",0.26,NA,NA,NA
"127","RNF138",0.26,NA,NA,NA
"128","RNF40",0.26,NA,NA,NA
"129","TRIM35",0.26,0.79,NA,NA
"130","TRIM61",0.26,NA,NA,NA
"131","KMT2D",0.25,NA,NA,NA
"132","MKRN1",0.25,NA,NA,NA
"133","RNF122",0.25,NA,NA,NA
"134","RNF214",0.25,NA,NA,NA
"135","RNF5",0.25,NA,NA,NA
"136","MGRN1",0.24,NA,NA,NA
"137","RNF141",0.24,NA,0.45,NA
"138","RNF144A",0.24,NA,NA,NA
"139","RNF146",0.24,NA,NA,NA
"140","RNF225",0.24,0.71,NA,NA
"141","TRIML1",0.24,NA,NA,0.29
"142","ZNF341",0.24,0.72,NA,NA
"143","MDM4",0.23,NA,0.32,NA
"144","MKRN4P",0.23,0.42,NA,0.51
"145","RNF121",0.23,0.27,NA,NA
"146","RNF31",0.23,1.17,NA,NA
"147","UBE3D",0.23,0.33,NA,0.42
"148","UBR4",0.23,0.82,NA,NA
"149","UBR5",0.23,NA,0.22,NA
"150","BIRC8",0.22,NA,NA,0.37
"151","TRIM15",0.22,NA,NA,0.37
"152","TRIM60",0.22,NA,NA,0.37
"153","TRIM64C",0.22,NA,NA,0.37
"154","WDR59",0.22,NA,NA,0.31
"155","ZNF521",0.22,0.67,NA,0.43
"156","NEDD4L",0.21,NA,NA,NA
"157","PLAG1",0.21,NA,0.77,NA
"158","RNF25",0.21,1.21,NA,NA
"159","TRIM40",0.21,NA,NA,0.39
"160","TRIM45",0.21,0.98,NA,NA
"161","UBR1",0.21,0.89,NA,NA
"162","XIAP",0.21,NA,0.54,NA
"163","RNF6",NA,2.08,0.58,0.36
"164","TRIM5",NA,1.84,0.29,0.41
"165","RNF181",NA,1.58,NA,NA
"166","TRIM56",NA,1.43,NA,NA
"167","TRIM22",NA,1.27,0.6,NA
"168","IRF2BP2",NA,1.22,0.72,0.56
"169","MYLIP",NA,1.14,NA,NA
"170","UBE3C",NA,1.11,0.33,NA
"171","TRIM55",NA,1.07,0.21,0.22
"172","TRIM6",NA,1.06,NA,NA
"173","TRAF7",NA,1.04,NA,NA
"174","SH3RF2",NA,1.01,NA,NA
"175","RNF14",NA,1,NA,NA
"176","LNX1",NA,0.99,NA,1.63
"177","WDSUB1",NA,0.98,NA,1.02
"178","RNF213",NA,0.97,NA,NA
"179","TRIM25",NA,0.93,NA,NA
"180","TRIP12",NA,0.92,NA,NA
"181","PCGF1",NA,0.91,NA,NA
"182","TRIM4",NA,0.91,NA,0.94
"183","BFAR",NA,0.89,NA,NA
"184","STUB1",NA,0.89,NA,NA
"185","DTX3L",NA,0.88,NA,NA
"186","MID1",NA,0.85,NA,NA
"187","RNF217",NA,0.85,0.96,NA
"188","RNF135",NA,0.83,NA,0.28
"189","MID2",NA,0.82,0.52,0.44
"190","MKRN2",NA,0.82,0.26,NA
"191","RFPL4A",NA,0.81,NA,NA
"192","VPS18",NA,0.8,NA,NA
"193","PEX2",NA,0.76,NA,0.82
"194","TRIM26",NA,0.73,NA,NA
"195","SH3RF3",NA,0.72,NA,0.59
"196","TRIM21",NA,0.7,NA,NA
"197","TRIM38",NA,0.7,NA,NA
"198","RNF216",NA,0.59,NA,NA
"199","RNF126",NA,0.58,NA,NA
"200","RNF185",NA,0.58,0.22,NA
"201","TRIM10",NA,0.57,NA,NA
"202","CBLC",NA,0.56,NA,NA
"203","RNF19A",NA,0.56,0.47,NA
"204","RNF207",NA,0.52,NA,0.81
"205","SYVN1",NA,0.51,NA,NA
"206","PEX10",NA,0.49,NA,0.32
"207","RNF167",NA,0.49,NA,NA
"208","HECTD3",NA,0.46,NA,NA
"209","MUL1",NA,0.46,NA,NA
"210","ANKIB1",NA,0.45,0.72,NA
"211","PML",NA,0.45,NA,NA
"212","NEURL3",NA,0.43,NA,NA
"213","RNF187",NA,0.43,NA,NA
"214","TMEM129",NA,0.43,NA,NA
"215","SIAH2",NA,0.42,NA,NA
"216","TRIM49C",NA,0.42,NA,0.37
"217","TRIML2",NA,0.4,0.22,NA
"218","RNF215",NA,0.39,NA,NA
"219","RNF4",NA,0.39,NA,NA
"220","NHLRC1",NA,0.35,NA,0.82
"221","ZNRF3",NA,0.32,NA,NA
"222","MIB2",NA,0.29,NA,NA
"223","VPS11",NA,0.29,NA,0.22
"224","CCDC36",NA,0.27,0.38,NA
"225","ZNF598",NA,0.26,NA,NA
"226","TRIM48",NA,0.25,NA,0.37
"227","PEX12",NA,0.23,NA,0.9
"228","RNF144B",NA,0.22,0.41,0.58
"229","ZNRF2",NA,0.22,NA,NA
"230","RNF11",NA,NA,0.9,NA
"231","PCGF5",NA,NA,0.59,0.37
"232","MECOM",NA,NA,0.58,NA
"233","BIRC2",NA,NA,0.56,NA
"234","TRAF5",NA,NA,0.54,0.3
"235","PLAGL1",NA,NA,0.46,NA
"236","SCAF11",NA,NA,0.45,NA
"237","SH3RF1",NA,NA,0.44,NA
"238","AMFR",NA,NA,0.4,0.24
"239","RNF128",NA,NA,0.37,1.14
"240","RNF222",NA,NA,0.34,NA
"241","BIRC7",NA,NA,0.23,NA
"242","MYCBP2",NA,NA,0.22,NA
"243","ARIH1",NA,NA,0.21,NA
"244","BMI1",NA,NA,0.21,NA
"245","LNX2",NA,NA,0.21,NA
"246","NEDD4",NA,NA,NA,1.05
"247","HERC6",NA,NA,NA,0.98
"248","RNF17",NA,NA,NA,0.77
"249","RFPL4B",NA,NA,NA,0.76
"250","RNF183",NA,NA,NA,0.71
"251","TRIM32",NA,NA,NA,0.71
"252","BIRC3",NA,NA,NA,0.53
"253","HERC4",NA,NA,NA,0.51
"254","TRIM43B",NA,NA,NA,0.37
"255","TRIM49",NA,NA,NA,0.37
"256","CCNB1IP1",NA,NA,NA,0.35
"257","TRIM47",NA,NA,NA,0.31
"258","RNF133",NA,NA,NA,0.28
"259","RBX1",NA,NA,NA,0.27
"260","RNF212",NA,NA,NA,0.22
"261","ZFP91",NA,NA,NA,0.21
