"","gene","cohen_for_all_celltypes_in_xdp_enriched","cohen_neuron_stem_cells_enriched","cohen_fibroblast_eniched","cohen_induced_neuron_enriched"
"1","TRIM73",0.69,1.1,0.81,NA
"2","RFPL1",0.65,0.42,0.34,1.74
"3","RFPL3",0.54,1.12,NA,0.94
"4","TRAF4",0.52,1.41,0.5,NA
"5","UBE4B",0.52,NA,0.62,NA
"6","RNF7",0.5,1.48,NA,0.66
"7","CHFR",0.49,1.06,0.45,NA
"8","TRAF6",0.49,1.3,0.31,NA
"9","TTC3",0.49,0.36,0.6,NA
"10","UBE3A",0.48,NA,0.47,0.25
"11","RNF212B",0.47,0.35,0.5,0.88
"12","RC3H2",0.46,NA,0.78,NA
"13","RNF152",0.46,0.22,0.62,NA
"14","LONRF3",0.45,0.64,NA,1.27
"15","SMURF1",0.45,NA,0.31,NA
"16","MEX3B",0.44,NA,0.53,NA
"17","PCGF3",0.44,NA,0.54,NA
"18","RLF",0.44,NA,0.34,NA
"19","RNF182",0.44,0.79,NA,NA
"20","RNF224",0.44,0.63,0.36,NA
"21","TRIM2",0.44,NA,0.53,NA
"22","RNF41",0.43,0.88,0.44,NA
"23","MAP3K1",0.42,1.99,NA,NA
"24","PJA2",0.42,1.37,0.62,NA
"25","AREL1",0.4,NA,0.26,NA
"26","HECTD2",0.4,NA,0.66,NA
"27","PELI1",0.4,NA,0.23,NA
"28","RCHY1",0.4,0.28,NA,NA
"29","RNF10",0.4,1.06,NA,0.3
"30","TRIM74",0.4,0.95,NA,NA
"31","MEX3C",0.39,0.45,0.25,NA
"32","RNF32",0.39,NA,NA,NA
"33","TRIM39",0.39,0.71,NA,0.22
"34","TRIM9",0.39,0.29,NA,0.25
"35","RFPL2",0.38,NA,0.25,0.74
"36","RNF123",0.38,0.76,NA,NA
"37","RNF2",0.38,NA,0.35,NA
"38","RNF38",0.38,NA,0.38,NA
"39","SIAH3",0.38,0.23,NA,0.34
"40","DZIP3",0.37,NA,NA,0.62
"41","RNF165",0.37,NA,NA,NA
"42","RNF19B",0.37,0.74,NA,NA
"43","TRIM62",0.37,NA,NA,NA
"44","CNOT4",0.36,NA,0.28,NA
"45","HACE1",0.36,NA,NA,0.29
"46","HECTD4",0.36,NA,NA,NA
"47","MEX3A",0.36,NA,NA,NA
"48","RNFT2",0.36,NA,NA,0.96
"49","TRIM33",0.36,NA,0.45,NA
"50","CBLB",0.35,NA,0.77,NA
"51","KMT2C",0.35,NA,0.24,NA
"52","LONRF2",0.35,NA,NA,NA
"53","MIB1",0.35,NA,0.45,NA
"54","PDZRN4",0.35,0.3,NA,0.22
"55","RAG1",0.35,1.59,NA,NA
"56","RLIM",0.35,NA,0.41,NA
"57","RNF170",0.35,NA,NA,NA
"58","TRIM43",0.35,0.27,0.43,NA
"59","TRIM67",0.35,NA,NA,0.7
"60","TRIM71",0.35,NA,NA,NA
"61","IRF2BPL",0.34,0.86,NA,NA
"62","NFXL1",0.34,NA,NA,NA
"63","PJA1",0.34,NA,NA,0.74
"64","RNF20",0.34,NA,NA,1.22
"65","RNF43",0.34,0.87,NA,NA
"66","TRIM13",0.34,NA,NA,NA
"67","TRIM36",0.34,NA,NA,NA
"68","ZNRF1",0.34,NA,NA,NA
"69","ARIH2",0.33,0.38,NA,NA
"70","RMND5A",0.33,NA,NA,NA
"71","RNF111",0.33,NA,0.4,NA
"72","RNF44",0.33,NA,NA,NA
"73","TRIM42",0.33,0.57,NA,0.29
"74","TRIM50",0.33,0.25,NA,0.33
"75","TRIM63",0.33,0.65,0.32,NA
"76","VPS8",0.33,NA,NA,0.25
"77","AFF4",0.32,0.66,0.54,NA
"78","CBLL1",0.32,NA,NA,NA
"79","CGRRF1",0.32,NA,NA,0.23
"80","DTX1",0.32,NA,NA,NA
"81","RNF130",0.32,NA,NA,NA
"82","SIAH1",0.32,NA,NA,NA
"83","VPS41",0.32,NA,NA,NA
"84","WWP1",0.32,0.25,0.47,NA
"85","HECW2",0.31,NA,0.58,NA
"86","KCMF1",0.31,1.07,NA,NA
"87","RC3H1",0.31,NA,0.57,NA
"88","RNF180",0.31,NA,0.36,NA
"89","RNF8",0.31,0.3,NA,0.23
"90","TRIM24",0.31,NA,NA,NA
"91","CBL",0.3,NA,NA,NA
"92","NFX1",0.3,NA,0.21,NA
"93","PELI2",0.3,NA,NA,NA
"94","RNF186",0.3,NA,NA,0.54
"95","TRIM3",0.3,0.76,NA,NA
"96","TRIM51",0.3,0.61,NA,NA
