"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"ANXA7","ENSG00000138279","1.6","0.3736681265206813","1.2661662817551964","64.79","9.46","50.96","8.15"
"ATP2A2","ENSG00000174437","1.6","0.36741052631578947","1.0998409883187574","358.67","24.59","326.02","10.75"
"DDIT3","ENSG00000175197","1.6","0.36741052631578947","1.399057873485868","19.79","4.58","13.86","2.38"
"FGF12","ENSG00000114279","1.6","0.36741052631578947","2.366935483870968","10.74","5.93","3.96","2.72"
"HMGXB3","ENSG00000113716","1.6","0.36741052631578947","1.1187198493940465","94.08","7.65","83.99","3.71"
"IRS1","ENSG00000169047","1.6","0.36741052631578947","1.7532120807608875","104.07","33.86","58.93","16.1"
"LACTB","ENSG00000103642","1.6","0.3797665677546983","1.2964376590330788","9.19","1.59","6.86","1.43"
"LAD1","ENSG00000159166","1.6","0.36741052631578947","1.1176470588235294","0.14","0.09","0.02","0.03"
"LRCH1","ENSG00000136141","1.6","0.36741052631578947","1.2486610558530986","15.32","2.56","12.07","0.99"
"TRIP6","ENSG00000087077","1.6","0.36741052631578947","1.4921343950281607","75.83","22.07","50.49","6.65"
"TRPC4","ENSG00000133107","1.6","0.36741052631578947","1.8896466212027276","29.48","9.99","15.13","5.47"
"ZMAT4","ENSG00000165061","1.6","0.36741052631578947","1.5937961595273265","9.79","2.96","5.77","1.63"
"ATF6","ENSG00000118217","1.59","0.36741052631578947","1.1334295731078572","53.96","4.46","47.49","3.57"
"CERS2","ENSG00000143418","1.59","0.36741052631578947","1.2639093317633208","170.74","26.24","134.88","19.6"
"COPB1","ENSG00000129083","1.59","0.36741052631578947","1.2126599739443635","157.24","19.41","129.49","11.51"
"LAMP3","ENSG00000078081","1.59","0.36741052631578947","2.6047516198704104","11.06","6.19","3.63","2.19"
"RAG1","ENSG00000166349","1.59","0.4261188389299943","1.308300395256917","2.31","0.46","1.53","0.54"
"RCN1P2","ENSG00000214455","1.59","0.39177959183673466","2.697674418604651","9.44","4.86","2.87","3.53"
"AC119751.3","ENSG00000248583","1.58","0.36741052631578947","1.0297029702970297","0.04","0.03","0.01","0.01"
"PPCDC","ENSG00000138621","1.58","0.36741052631578947","1.3446601941747571","12.85","2.89","9.3","1.03"
"RNF181","ENSG00000168894","1.58","0.36741052631578947","1.2470149253731344","32.42","5.3","25.8","2.17"
"RNPEP","ENSG00000176393","1.58","0.36741052631578947","1.1992437941805032","71.95","8.96","59.83","5.04"
"AC127502.1","ENSG00000215302","1.57","0.36741052631578947","1.3308823529411766","0.81","0.36","0.36","0.21"
"COG3","ENSG00000136152","1.57","0.36741052631578947","1.1047842676841797","36.64","2.88","33.07","0.68"
"EPB41L2","ENSG00000079819","1.57","0.36741052631578947","1.2356501563603348","121.49","16.65","98.13","11.97"
"GJA1","ENSG00000152661","1.57","0.36741052631578947","1.7757388448908635","274.79","95.12","154.31","52.86"
"KDELR3","ENSG00000100196","1.57","0.37780703296703294","1.390625","5.23","1.23","3.48","1.16"
"LINC02154","ENSG00000235385","1.57","0.36741052631578947","1.8016528925619832","1.18","0.87","0.21","0.11"
"NDUFB1P1","ENSG00000231884","1.57","0.36741052631578947","1.03","0.03","0.02","0","0"
"NPC2","ENSG00000119655","1.57","0.36741052631578947","1.3886658795749705","57.81","12.62","41.35","7.75"
"PDIA6","ENSG00000143870","1.57","0.36741052631578947","1.194860998961818","413.33","49.4","345.76","31.53"
"PDXDC1","ENSG00000179889","1.57","0.36741052631578947","1.2206829896907216","74.78","10.73","61.08","3.5"
"SCPEP1","ENSG00000121064","1.57","0.36741052631578947","1.369942196531792","39.29","7.85","28.41","5.1"
"STC2","ENSG00000113739","1.57","0.36741052631578947","1.8695054945054943","53.44","21.62","28.12","10.55"
"TUFT1","ENSG00000143367","1.57","0.36741052631578947","1.5477707006369428","28.16","7.28","17.84","3.57"
"VTCN1","ENSG00000134258","1.57","0.36741052631578947","2.1590909090909096","4.7","2.54","1.64","0.44"
"AC093525.7","ENSG00000269937","1.56","0.36741052631578947","1.1981132075471699","0.27","0.17","0.06","0.05"
"COL23A1","ENSG00000050767","1.56","0.3790999451453648","2.344632768361582","7.3","4.24","2.54","2.67"
"COQ10B","ENSG00000115520","1.56","0.36741052631578947","1.2985232067510548","11.31","2.19","8.48","0.91"
"HES1","ENSG00000114315","1.56","0.36741052631578947","2.1491228070175437","33.3","17.86","14.96","4.26"
"LINC01546","ENSG00000228459","1.56","0.36741052631578947","1.0294117647058825","0.05","0.02","0.02","0.02"
"MMADHC","ENSG00000168288","1.56","0.3790999451453648","1.0999105659895236","85.09","5.21","77.27","4.95"
"PARD3","ENSG00000148498","1.56","0.36741052631578947","1.1602179075289845","82.06","8.39","70.59","4.47"
"PDLIM2","ENSG00000120913","1.56","0.36741052631578947","1.6296703296703297","13.83","5.16","8.1","1.83"
"RHOC","ENSG00000155366","1.56","0.36741052631578947","1.4560168895144265","40.38","10.56","27.42","4.95"
"SEC23A","ENSG00000100934","1.56","0.36741052631578947","1.2839164068814226","110.2","17.01","85.61","12.37"
"TTC34","ENSG00000215912","1.56","0.3851695394436844","1.3053435114503815","0.71","0.28","0.31","0.24"
"AC009244.1","ENSG00000238072","1.55","0.36741052631578947","1.2053571428571428","0.35","0.18","0.12","0.06"
"AL592490.1","ENSG00000197991","1.55","0.37673512252042","1.688235294117647","1.87","1.09","0.7","0.72"
"CFD","ENSG00000197766","1.55","0.36741052631578947","1.0485436893203883","0.08","0.04","0.03","0.02"
"GABRA5","ENSG00000186297","1.55","0.36741052631578947","2.7169811320754715","17.72","9.54","5.89","4.01"
"IER5","ENSG00000162783","1.55","0.36741052631578947","1.2421425409473217","27.06","4.3","21.59","1.89"
"MTMR1","ENSG00000063601","1.55","0.36741052631578947","1.1458823529411766","37.96","3.45","33","2.48"
